Source_IP,Source_port,Destination_IP,Destination_port,Protocol,Timestamp,fwd_packets_amount,bwd_packets_amount,fwd_packets_length,bwd_packets_length,max_fwd_packet ,min_fwd_packet,max_bwd_packet,min_bwd_packet,FIN_count,SYN_count,RST_count,PSH_count,silence_windows,min_fwd_inter_arrival_time,max_fwd_inter_arrival_time,mean_fwd_inter_arrival_time,min_bwd_inter_arrival_time,max_bwd_inter_arrival_time,mean_bwd_inter_arrival_time,min_bib_inter_arrival_time,max_bib_inter_arrival_time,mean_bib_inter_arrival_time,first_packet_sizes_0,first_packet_sizes_1,first_packet_sizes_2,first_packet_sizes_3,first_packet_sizes_4,first_packet_sizes_5,first_packet_sizes_6,first_packet_sizes_7,first_packet_sizes_8,first_packet_sizes_9,first_packet_sizes_10,first_packet_sizes_11,first_packet_sizes_12,first_packet_sizes_13,first_packet_sizes_14,first_packet_sizes_15,first_packet_sizes_16,first_packet_sizes_17,first_packet_sizes_18,first_packet_sizes_19,first_packet_sizes_20,first_packet_sizes_21,first_packet_sizes_22,first_packet_sizes_23,first_packet_sizes_24,first_packet_sizes_25,first_packet_sizes_26,first_packet_sizes_27,first_packet_sizes_28,first_packet_sizes_29,min_packet_size,max_packet_size,mean_packet_size,STD_packet_size,mean_delta_byte,STD_delta_byte,bandwidth_0,bandwidth_1,bandwidth_2,bandwidth_3,bandwidth_4,bandwidth_5,bandwidth_6,bandwidth_7,bandwidth_8,bandwidth_9,bandwidth_10,bandwidth_11,bandwidth_12,bandwidth_13,bandwidth_14,bandwidth_15,bandwidth_16,bandwidth_17,bandwidth_18,bandwidth_19,bpp_0,bpp_1,bpp_2,beaconning_0,beaconning_1,beaconning_2,beaconning_3,beaconning_4,beaconning_5,beaconning_6,beaconning_7,beaconning_8,beaconning_9,beaconning_10,beaconning_11,beaconning_12,beaconning_13,beaconning_14,beaconning_15,beaconning_16,beaconning_17,beaconning_18,beaconning_19,pps_fwd,pps_bwd,count_big_requests,ACK_count,attribution
10.10.0.127,55263,185.226.55.159,443,tcp,1728383800.59953,1061,2652,45,82,2163,60,1434,60,1,2,1,44,6,5.00679016113281e-06,0.0206458568573,0.001452370480925,0.0,0.01968789100647,0.000581054306318,0.0,0.0206458568573,0.000830035308542,66,-66,60,2131,-60,-60,-310,134,856,-60,-657,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,-1434,60,-1434,-1434,60,-1434,-1434,60,-1434,60,2131,908.543307086614,661.367287571269,893.746031746032,646.793494392928,0,63728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111642,3743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7684598283632,92.5114156872397,3,126,VOD
10.10.0.127,58102,185.226.53.133,443,tcp,1728386930.39543,1002,1960,18,78,2164,60,1434,60,1,2,1,41,3,5.96046447753906e-06,0.009375095367432,0.001008806352368,0.0,0.009684085845947,0.000516954003548,0.0,0.009684085845947,0.000683340247139,66,-66,60,1780,-60,-1434,-1434,-272,60,134,851,-60,-60,-333,-881,-1434,60,-1434,-1434,60,-1434,-1434,-1434,-1434,-1434,-1434,-1434,60,-1434,-1434,60,1780,1116.84375,570.070743565455,414.505263157895,617.607197150664,0,32120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7565755331963,224.278493977184,2,95,VOD
10.100.102.20,60582,82.166.22.12,443,tcp,1726547594.38427,357,467,9,9,1334,60,1506,60,1,2,0,3,3,0.0,9.67445516586304,0.052132776137494,0.0,26.6183569431305,0.128557886250269,0.0,26.6183569431305,0.095446521796069,66,-66,60,1334,555,-60,-1506,-1506,-1506,-212,66,60,60,118,-60,-66,-60,60,0,0,0,0,0,0,0,0,0,0,0,0,60,1506,412.277777777778,574.14998094338,327.882352941176,511.104096954696,0,65020,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7235,120,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149860022875876,0.149860022875876,2,17,VOD
10.100.102.20,51682,82.166.78.13,443,udp,1726546474.89908,501,698,422,548,1334,60,1506,60,0,5,0,19,16,0.0,3.05364799499512,0.018421357263348,0.0,3.08188509941101,0.013188488503923,0.0,3.08188509941101,0.015375033331673,1292,1292,-1292,-1292,-1175,-1292,-1292,1292,83,83,82,125,113,747,137,-573,-158,-69,-175,-63,-63,-69,73,77,75,77,-65,1288,1292,306,63,1292,744.601030927835,602.202908400097,121.080495356037,355.229502874477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373826,333136,13126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7216647267208,59.3731570384905,10,963,VOD
10.100.102.20,54683,209.85.165.170,443,udp,1726530500.61628,97,114,24,26,1292,72,1292,63,0,0,0,0,9,0.0,3.26111698150635,0.072810927617181,0.0,3.44531512260437,0.061011063425165,0.0,3.44531512260437,0.066435645541874,1292,1292,-1292,-1292,-1292,-1279,-1292,81,83,81,125,109,1288,249,831,-159,76,-572,74,-66,-71,-482,-63,77,122,-80,-63,77,117,-69,63,1292,311.84,448.050057917639,147.040816326531,304.086048454446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12685,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9001073648829,23.7251163119564,5,50,VOD
192.168.1.25,55219,45.60.13.134,443,tcp,1726531217.58147,19,29,20,29,1877,60,1514,60,0,2,0,22,4,3.50475311279297e-05,0.117796182632446,0.018796255714015,0.0,0.118285894393921,0.009721994400024,0.0,0.118285894393921,0.013313889503479,66,-66,60,1877,-60,-1514,-1230,-1514,66,60,-1260,60,118,146,723,-325,-325,-110,-85,-68,-1514,-1514,-68,-1514,-68,66,60,60,85,-1514,60,1877,687.897959183674,691.872326457912,574.0,675.821629573958,0,63727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9968492373419,81.1954313941457,2,48,file download
10.10.0.127,57912,23.206.94.164,443,tcp,1728436326.56358,10,25,11,25,1807,60,1434,60,0,2,0,15,6,0.000138998031616,0.144150018692017,0.031094002723694,0.0,0.10305380821228,0.010421562194824,0.0,0.144150018692017,0.016327973774501,66,-66,60,1807,-60,-60,-1434,-1434,-1310,60,134,798,-60,-341,-341,60,-60,-1434,-424,60,-1434,-1434,-1434,-1434,-1434,-1434,-1434,-1434,-1434,-1434,60,1807,771.277777777778,658.750526506689,486.514285714286,612.963684378893,0,63728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8199925985007,70.0454377238653,2,35,file download
10.10.0.127,57624,23.206.94.164,443,tcp,1728436188.50426,43,95,44,95,1871,60,1434,60,0,2,0,49,8,0.000189065933228,0.139676094055176,0.010250862254653,0.0,0.097931861877441,0.004074706529316,0.0,0.139676094055176,0.00599916084953,66,-66,60,1871,-60,-60,-1434,-1434,60,-1310,134,810,-60,-341,60,-341,60,-60,-1434,-1434,60,-1434,-1434,60,-1434,-1434,-1434,-1434,-1434,-1434,60,1871,947.057553956835,650.639925945453,789.04347826087,667.221557509417,0,63728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.137519599201,196.774190043729,2,138,file download
192.168.1.25,53777,45.60.13.134,443,tcp,1726530281.70118,17,47,18,47,1877,60,1514,60,0,2,0,30,5,1.40666961669922e-05,0.083747148513794,0.023639244191787,0.0,0.084411859512329,0.006922255171106,0.0,0.084411859512329,0.011362705379725,66,-66,60,1877,-60,-60,-1514,-1514,-1230,-1260,60,118,146,660,-325,-325,-110,-85,-68,-1514,-1514,-1514,-1514,-1514,66,60,60,85,-1514,60,60,1877,961.707692307692,683.092554221707,464.1875,656.045226980389,0,63727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45066,17445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.785235444756,116.93922588353,2,64,file download
192.168.1.25,62951,20.141.137.224,443,tcp,1726324809.60387,16,20,16,21,1780,60,1514,60,0,2,0,14,4,2.90870666503906e-05,0.251224994659424,0.043677181005478,0.0,0.257102966308594,0.027994799613953,0.0,0.257102966308594,0.034964746899075,66,-66,60,1780,-60,-60,-1514,-1514,-1514,-382,66,60,60,180,153,606,-312,-123,-60,-92,-1514,-1514,-1514,-1514,-1514,-1514,-1514,66,92,60,60,1780,609.756756756757,674.204091539751,434.833333333333,621.092339708392,0,63723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14420,8141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.651352159671,28.4173997095682,2,36,file download
